Date,Type,Press Conference,Scheduled FOMC,Unscheduled FOMC,SEP,Dotplot,Monetary Policy Report,Minutes Released
2/8/1990,Open Market Operation,0,0,0,0,0,0,0
3/28/1990,Open Market Operation,0,0,0,0,0,0,0
5/16/1990,Open Market Operation,0,0,0,0,0,0,0
7/5/1990,Open Market Operation,0,0,0,0,0,0,0
7/13/1990,Open Market Operation,0,0,0,0,0,0,0
8/22/1990,Open Market Operation,0,0,0,0,0,0,0
10/3/1990,Open Market Operation,0,0,0,0,0,0,0
10/29/1990,Open Market Operation,0,0,0,0,0,0,0
11/14/1990,Open Market Operation,0,0,0,0,0,0,0
12/7/1990,Open Market Operation,0,0,1,0,0,0,0
12/18/1990,Discount Rate Change Press Release,0,1,0,0,0,0,0
1/8/1991,Open Market Operation,0,0,1,0,0,0,0
2/1/1991,Discount Rate Change Press Release,0,0,1,0,0,0,0
2/7/1991,Open Market Operation,0,0,0,0,0,0,0
3/8/1991,Open Market Operation,0,0,0,0,0,0,0
3/27/1991,Open Market Operation,0,0,0,0,0,0,0
4/30/1991,Discount Rate Change Press Release,0,0,1,0,0,0,0
5/15/1991,Open Market Operation,0,1,0,0,0,0,0
7/5/1991,Open Market Operation,0,1,0,0,0,0,0
8/6/1991,Open Market Operation,0,0,1,0,0,0,0
8/21/1991,Open Market Operation,0,1,0,0,0,0,0
9/13/1991,Discount Rate Change Press Release,0,0,1,0,0,0,0
10/2/1991,Open Market Operation,0,1,0,0,0,0,0
10/30/1991,Open Market Operation,0,0,1,0,0,0,0
11/6/1991,Discount Rate Change Press Release,0,1,0,0,0,0,0
12/6/1991,Open Market Operation,0,0,0,0,0,0,0
12/18/1991,Open Market Operation,0,1,0,0,0,0,0
12/20/1991,Discount Rate Change Press Release,0,0,0,0,0,0,0
2/6/1992,Open Market Operation,0,1,0,0,0,0,0
4/1/1992,Open Market Operation,0,1,0,0,0,0,0
4/9/1992,Open Market Operation,0,0,0,0,0,0,0
5/20/1992,Open Market Operation,0,1,0,0,0,0,0
7/2/1992,Discount Rate Change Press Release,0,0,1,0,0,0,0
8/19/1992,Open Market Operation,0,1,0,0,0,0,0
9/4/1992,Open Market Operation,0,0,0,0,0,0,0
10/7/1992,Open Market Operation,0,1,0,0,0,0,0
11/18/1992,Open Market Operation,0,1,0,0,0,0,0
12/23/1992,Open Market Operation,0,1,0,0,0,0,0
2/4/1993,Open Market Operation,0,1,0,0,0,0,0
3/24/1993,Open Market Operation,0,1,0,0,0,0,0
3/26/1993,Minutes,0,0,0,0,0,0,1
5/19/1993,Open Market Operation,0,1,0,0,0,0,0
5/21/1993,Minutes,0,0,0,0,0,0,1
7/8/1993,Open Market Operation,0,1,0,0,0,0,0
7/9/1993,Minutes,0,0,0,0,0,0,1
8/18/1993,Open Market Operation,0,1,0,0,0,0,0
8/20/1993,Minutes,0,0,0,0,0,0,1
9/22/1993,Open Market Operation,0,1,0,0,0,0,0
9/24/1993,Minutes,0,0,0,0,0,0,1
11/17/1993,Open Market Operation,0,1,0,0,0,0,0
11/19/1993,Minutes,0,0,0,0,0,0,1
12/22/1993,Open Market Operation,0,1,0,0,0,0,0
12/23/1993,Minutes,0,0,0,0,0,0,1
2/4/1994,FOMC Statement,0,1,0,0,0,0,0
2/4/1994,Minutes,0,0,0,0,0,0,1
2/28/1994,FOMC Statement,0,0,1,0,0,0,0
3/22/1994,FOMC Statement,0,1,0,0,0,0,0
3/24/1994,FOMC Statement,0,0,1,0,0,0,0
3/25/1994,Minutes,0,0,0,0,0,0,1
4/18/1994,FOMC Statement,0,0,1,0,0,0,0
5/17/1994,FOMC Statement,0,1,0,0,0,0,0
5/20/1994,Minutes,0,0,0,0,0,0,1
7/6/1994,FOMC Statement,0,1,0,0,0,0,0
7/8/1994,Minutes,0,0,0,0,0,0,1
7/20/1994,FOMC Statement,0,0,1,0,0,0,0
8/16/1994,FOMC Statement,0,1,0,0,0,0,0
8/19/1994,Minutes,0,0,0,0,0,0,1
9/27/1994,FOMC Statement,0,1,0,0,0,0,0
9/30/1994,Minutes,0,0,0,0,0,0,1
11/15/1994,FOMC Statement,0,1,0,0,0,0,0
11/18/1994,Minutes,0,0,0,0,0,0,1
12/20/1994,FOMC Statement,0,1,0,0,0,0,0
12/22/1994,Minutes,0,0,0,0,0,0,1
12/30/1994,FOMC Statement,0,0,1,0,0,0,0
1/13/1995,FOMC Statement,0,0,1,0,0,0,0
2/1/1995,FOMC Statement,0,1,0,0,0,0,0
2/3/1995,Minutes,0,0,0,0,0,0,1
3/10/1995,FOMC Statement,0,0,1,0,0,0,0
3/28/1995,FOMC Statement,0,1,0,0,0,0,0
3/31/1995,Minutes,0,0,0,0,0,0,1
4/28/1995,FOMC Statement,0,0,1,0,0,0,0
5/23/1995,FOMC Statement,0,1,0,0,0,0,0
5/26/1995,Minutes,0,0,0,0,0,0,1
7/6/1995,FOMC Statement,0,1,0,0,0,0,0
7/7/1995,Minutes,0,0,0,0,0,0,1
8/22/1995,FOMC Statement,0,1,0,0,0,0,0
8/25/1995,Minutes,0,0,0,0,0,0,1
8/29/1995,Minutes,0,0,0,0,0,0,1
9/26/1995,FOMC Statement,0,1,0,0,0,0,0
11/15/1995,FOMC Statement,0,1,0,0,0,0,0
11/17/1995,Minutes,0,0,0,0,0,0,1
12/19/1995,FOMC Statement,0,1,0,0,0,0,0
12/22/1995,Minutes,0,0,0,0,0,0,1
1/31/1996,FOMC Statement,0,1,0,0,0,0,0
2/2/1996,Minutes,0,0,0,0,0,0,1
3/26/1996,FOMC Statement,0,1,0,0,0,0,0
3/29/1996,Minutes,0,0,0,0,0,0,1
5/21/1996,FOMC Statement,0,1,0,0,0,0,0
5/24/1996,Minutes,0,0,0,0,0,0,1
7/3/1996,FOMC Statement,0,1,0,0,0,0,0
7/5/1996,Minutes,0,0,0,0,0,0,1
7/18/1996,Monetary Policy Report,0,0,0,0,0,1,0
8/20/1996,FOMC Statement,0,1,0,0,0,0,0
8/23/1996,Minutes,0,0,0,0,0,0,1
9/24/1996,FOMC Statement,0,1,0,0,0,0,0
9/27/1996,Minutes,0,0,0,0,0,0,1
11/13/1996,FOMC Statement,0,1,0,0,0,0,0
11/15/1996,Minutes,0,0,0,0,0,0,1
12/17/1996,FOMC Statement,0,1,0,0,0,0,0
12/20/1996,Minutes,0,0,0,0,0,0,1
2/5/1997,FOMC Statement,0,1,0,0,0,0,0
2/5/1997,Minutes,0,0,0,0,0,0,1
2/26/1997,Monetary Policy Report,0,0,0,0,0,1,0
3/25/1997,FOMC Statement,0,1,0,0,0,0,0
3/27/1997,Minutes,0,0,0,0,0,0,1
5/20/1997,FOMC Statement,0,1,0,0,0,0,0
5/22/1997,Minutes,0,0,0,0,0,0,1
7/2/1997,FOMC Statement,0,1,0,0,0,0,0
7/3/1997,Minutes,0,0,0,0,0,0,1
7/22/1997,Monetary Policy Report,0,0,0,0,0,1,0
8/19/1997,FOMC Statement,0,1,0,0,0,0,0
8/21/1997,Minutes,0,0,0,0,0,0,1
9/30/1997,FOMC Statement,0,1,0,0,0,0,0
10/2/1997,Minutes,0,0,0,0,0,0,1
11/12/1997,FOMC Statement,0,1,0,0,0,0,0
11/13/1997,Minutes,0,0,0,0,0,0,1
12/16/1997,FOMC Statement,0,1,0,0,0,0,0
12/18/1997,Minutes,0,0,0,0,0,0,1
2/4/1998,FOMC Statement,0,1,0,0,0,0,0
2/5/1998,Minutes,0,0,0,0,0,0,1
2/24/1998,Monetary Policy Report,0,0,0,0,0,1,0
3/31/1998,FOMC Statement,0,1,0,0,0,0,0
4/2/1998,Minutes,0,0,0,0,0,0,1
5/19/1998,FOMC Statement,0,1,0,0,0,0,0
5/21/1998,Minutes,0,0,0,0,0,0,1
7/1/1998,FOMC Statement,0,1,0,0,0,0,0
7/2/1998,Minutes,0,0,0,0,0,0,1
7/21/1998,Monetary Policy Report,0,0,0,0,0,1,0
8/18/1998,FOMC Statement,0,1,0,0,0,0,0
8/20/1998,Minutes,0,0,0,0,0,0,1
9/21/1998,FOMC Statement,0,0,1,0,0,0,0
9/29/1998,FOMC Statement,0,1,0,0,0,0,0
10/1/1998,Minutes,0,0,0,0,0,0,1
10/15/1998,FOMC Statement,0,0,1,0,0,0,0
11/17/1998,FOMC Statement,0,1,0,0,0,0,0
11/19/1998,Minutes,0,0,0,0,0,0,1
12/22/1998,FOMC Statement,0,1,0,0,0,0,0
12/23/1998,Minutes,0,0,0,0,0,0,1
2/3/1999,FOMC Statement,0,1,0,0,0,0,0
2/4/1999,Minutes,0,0,0,0,0,0,1
2/23/1999,Monetary Policy Report,0,0,0,0,0,1,0
3/30/1999,FOMC Statement,0,1,0,0,0,0,0
4/1/1999,Minutes,0,0,0,0,0,0,1
5/18/1999,FOMC Statement,0,1,0,0,0,0,0
5/20/1999,Minutes,0,0,0,0,0,0,1
6/30/1999,FOMC Statement,0,1,0,0,0,0,0
7/1/1999,Minutes,0,0,0,0,0,0,1
7/22/1999,Monetary Policy Report,0,0,0,0,0,1,0
8/24/1999,FOMC Statement,0,1,0,0,0,0,0
8/26/1999,Minutes,0,0,0,0,0,0,1
10/5/1999,FOMC Statement,0,1,0,0,0,0,0
10/7/1999,Minutes,0,0,0,0,0,0,1
11/16/1999,FOMC Statement,0,1,0,0,0,0,0
11/18/1999,Minutes,0,0,0,0,0,0,1
12/21/1999,FOMC Statement,0,1,0,0,0,0,0
12/23/1999,Minutes,0,0,0,0,0,0,1
2/2/2000,FOMC Statement,0,1,0,0,0,0,0
2/3/2000,Minutes,0,0,0,0,0,0,1
2/17/2000,Monetary Policy Report,0,0,0,0,0,1,0
3/21/2000,FOMC Statement,0,1,0,0,0,0,0
3/23/2000,Minutes,0,0,0,0,0,0,1
5/16/2000,FOMC Statement,0,1,0,0,0,0,0
5/18/2000,Minutes,0,0,0,0,0,0,1
6/28/2000,FOMC Statement,0,1,0,0,0,0,0
6/29/2000,Minutes,0,0,0,0,0,0,1
7/20/2000,Monetary Policy Report,0,0,0,0,0,1,0
8/22/2000,FOMC Statement,0,1,0,0,0,0,0
8/24/2000,Minutes,0,0,0,0,0,0,1
10/3/2000,FOMC Statement,0,1,0,0,0,0,0
10/5/2000,Minutes,0,0,0,0,0,0,1
11/15/2000,FOMC Statement,0,1,0,0,0,0,0
11/16/2000,Minutes,0,0,0,0,0,0,1
12/19/2000,FOMC Statement,0,1,0,0,0,0,0
12/21/2000,Minutes,0,0,0,0,0,0,1
1/3/2001,FOMC Statement,0,0,1,0,0,0,0
1/31/2001,FOMC Statement,0,1,0,0,0,0,0
2/1/2001,Minutes,0,0,0,0,0,0,1
2/13/2001,Monetary Policy Report,0,0,0,0,0,1,0
3/20/2001,FOMC Statement,0,1,0,0,0,0,0
3/22/2001,Minutes,0,0,0,0,0,0,1
4/11/2001,FOMC Statement,0,0,1,0,0,0,0
4/18/2001,FOMC Statement,0,0,1,0,0,0,0
5/15/2001,FOMC Statement,0,1,0,0,0,0,0
5/17/2001,Minutes,0,0,0,0,0,0,1
6/27/2001,FOMC Statement,0,1,0,0,0,0,0
6/28/2001,Minutes,0,0,0,0,0,0,1
7/18/2001,Monetary Policy Report,0,0,0,0,0,1,0
8/21/2001,FOMC Statement,0,1,0,0,0,0,0
8/23/2001,Minutes,0,0,0,0,0,0,1
9/13/2001,FOMC Statement,0,0,1,0,0,0,0
9/17/2001,FOMC Statement,0,0,1,0,0,0,0
10/2/2001,FOMC Statement,0,1,0,0,0,0,0
10/4/2001,Minutes,0,0,0,0,0,0,1
11/6/2001,FOMC Statement,0,1,0,0,0,0,0
11/8/2001,Minutes,0,0,0,0,0,0,1
12/11/2001,FOMC Statement,0,1,0,0,0,0,0
12/13/2001,Minutes,0,0,0,0,0,0,1
1/30/2002,FOMC Statement,0,1,0,0,0,0,0
1/31/2002,Minutes,0,0,0,0,0,0,1
2/27/2002,Monetary Policy Report,0,0,0,0,0,1,0
3/19/2002,FOMC Statement,0,1,0,0,0,0,0
3/21/2002,Minutes,0,0,0,0,0,0,1
5/7/2002,FOMC Statement,0,1,0,0,0,0,0
5/9/2002,Minutes,0,0,0,0,0,0,1
6/26/2002,FOMC Statement,0,1,0,0,0,0,0
6/27/2002,Minutes,0,0,0,0,0,0,1
7/16/2002,Monetary Policy Report,0,0,0,0,0,1,0
8/13/2002,FOMC Statement,0,1,0,0,0,0,0
8/15/2002,Minutes,0,0,0,0,0,0,1
9/24/2002,FOMC Statement,0,1,0,0,0,0,0
9/26/2002,Minutes,0,0,0,0,0,0,1
11/6/2002,FOMC Statement,0,1,0,0,0,0,0
11/7/2002,Minutes,0,0,0,0,0,0,1
12/10/2002,FOMC Statement,0,1,0,0,0,0,0
12/12/2002,Minutes,0,0,0,0,0,0,1
1/29/2003,FOMC Statement,0,1,0,0,0,0,0
1/30/2003,Minutes,0,0,0,0,0,0,1
2/11/2003,Monetary Policy Report,0,0,0,0,0,1,0
3/18/2003,FOMC Statement,0,1,0,0,0,0,0
3/20/2003,Minutes,0,0,0,0,0,0,1
3/25/2003,FOMC Statement,0,0,1,0,0,0,0
4/1/2003,FOMC Statement,0,0,1,0,0,0,0
4/8/2003,FOMC Statement,0,0,1,0,0,0,0
4/16/2003,FOMC Statement,0,0,1,0,0,0,0
5/6/2003,FOMC Statement,0,1,0,0,0,0,0
5/8/2003,Minutes,0,0,0,0,0,0,1
6/25/2003,FOMC Statement,0,1,0,0,0,0,0
6/26/2003,Minutes,0,0,0,0,0,0,1
7/15/2003,Monetary Policy Report,0,0,0,0,0,1,0
8/12/2003,FOMC Statement,0,1,0,0,0,0,0
8/14/2003,Minutes,0,0,0,0,0,0,1
9/16/2003,FOMC Statement,0,1,0,0,0,0,0
9/18/2003,Minutes,0,0,0,0,0,0,1
10/28/2003,FOMC Statement,0,1,0,0,0,0,0
10/30/2003,Minutes,0,0,0,0,0,0,1
12/9/2003,FOMC Statement,0,1,0,0,0,0,0
12/11/2003,Minutes,0,0,0,0,0,0,1
1/28/2004,FOMC Statement,0,1,0,0,0,0,0
1/29/2004,Minutes,0,0,0,0,0,0,1
2/11/2004,Monetary Policy Report,0,0,0,0,0,1,0
3/16/2004,FOMC Statement,0,1,0,0,0,0,0
3/18/2004,Minutes,0,0,0,0,0,0,1
5/4/2004,FOMC Statement,0,1,0,0,0,0,0
5/6/2004,Minutes,0,0,0,0,0,0,1
6/30/2004,FOMC Statement,0,1,0,0,0,0,0
7/1/2004,Minutes,0,0,0,0,0,0,1
7/20/2004,Monetary Policy Report,0,0,0,0,0,1,0
8/10/2004,FOMC Statement,0,1,0,0,0,0,0
8/12/2004,Minutes,0,0,0,0,0,0,1
9/21/2004,FOMC Statement,0,1,0,0,0,0,0
9/23/2004,Minutes,0,0,0,0,0,0,1
11/10/2004,FOMC Statement,0,1,0,0,0,0,0
11/11/2004,Minutes,0,0,0,0,0,0,1
12/14/2004,FOMC Statement,0,1,0,0,0,0,0
12/16/2004,Minutes,0,0,0,0,0,0,1
1/4/2005,Minutes,0,0,0,0,0,0,1
2/2/2005,FOMC Statement,0,1,0,0,0,0,0
2/16/2005,Monetary Policy Report,0,0,0,0,0,1,0
